from,to,dist_normal,dist_accessible,ratio
1_room_1,2_room_11,1261.9034339499933,5587.687261451055,4.427983244296714
1_room_1,2_room_2,1036.3829661935217,5950.5643031533855,5.7416654820263116
1_room_1,2_room_23,3332.505961241283,4276.868432505034,1.283379079361646
1_room_1,2_room_26,3273.6519504705443,4055.171709259675,1.2387302531281
1_room_10,2_room_17,1361.641768569099,4785.89100162151,3.514794501824686
1_room_10,2_room_24,1584.290920518276,4558.834526085916,2.8775236082237754
1_room_10,2_room_30,2127.8810736947903,4045.8561367675056,1.901354444467331
1_room_10,2_room_5,3876.181317588092,4245.872109413346,1.0953749996543738
1_room_11,2_room_1,1261.9034339499933,5587.687261451055,4.427983244296714
1_room_11,2_room_11,1230.378511698004,4944.333372235187,4.01854658970895
1_room_11,2_room_12,1253.0701211059104,4917.319354158321,3.9242172256238055
1_room_11,2_room_2,1004.8580439415326,5307.210413937518,5.281552400297366
1_room_11,2_room_21,1538.2525163336272,4612.20737687081,2.998342162874435
1_room_11,2_room_22,3331.491422537216,3501.1822143624677,1.0509353830771737
1_room_11,2_room_25,1635.7303936974001,4509.685254234584,2.7569856692831296
1_room_11,2_room_32,2425.700247020878,3753.380937578365,1.5473391414244513
1_room_11,2_room_33,3204.449938551159,3560.414900356108,1.111084575709082
1_room_11,2_room_5,3814.2512598784174,4172.375329570788,1.093891053654338
1_room_12,2_room_10,1176.2725284332398,4990.816134000878,4.242908010993419
1_room_12,2_room_34,1872.3613720989354,4286.904977666574,2.2895713624239704
1_room_13,2_room_11,3344.16406550951,3813.542913471154,1.1403576017105879
1_room_13,2_room_14,3225.4124721762873,3694.7913201379315,1.1455252163903675
1_room_13,2_room_2,3418.3316538894287,4176.419955173485,1.2217714306397074
1_room_13,2_room_28,2771.025232715817,3240.404080677461,1.1693881536768314
1_room_13,2_room_31,2274.6488118207135,2744.0276597823577,1.206352226999796
1_room_13,2_room_9,3443.340733075932,3912.719581037576,1.1363149581605154
1_room_14,2_room_12,1374.318527772688,4798.567760825099,3.491597954807447
1_room_14,2_room_13,3225.4124721762873,3694.7913201379324,1.1455252163903678
1_room_14,2_room_21,1659.5009230004048,4493.455783537587,2.707715145715825
1_room_14,2_room_33,3325.6983452179365,3441.6633070228854,1.0348693566786344
1_room_15,2_room_1,1407.0331096600084,5443.111309676298,3.8685026473837256
