from,to,dist_normal,dist_accessible,ratio
0_room_1,1_room_1,4986.284192740308,,
0_room_1,1_room_10,4416.427083366997,,
0_room_1,1_room_11,4342.93030352444,,
0_room_1,1_room_12,4315.916285447574,,
0_room_1,1_room_13,1861.0128610383254,,
0_room_1,1_room_14,4224.178710191218,,
0_room_1,1_room_15,4198.354351749683,,
0_room_1,1_room_16,2205.927058980436,,
0_room_1,1_room_17,4110.991153068207,,
0_room_1,1_room_18,4095.218308225029,,
0_room_1,1_room_19,2100.8795803551984,,
0_room_1,1_room_2,4705.807345226771,,
0_room_1,1_room_20,3984.1832958277164,,
0_room_1,1_room_21,4010.804308160063,,
0_room_1,1_room_22,2205.2207044245624,,
0_room_1,1_room_23,2580.0198171504917,,
0_room_1,1_room_24,3883.9346775326107,,
0_room_1,1_room_25,3908.2821855238362,,
0_room_1,1_room_26,2315.856310105902,,
0_room_1,1_room_27,2437.8909980867425,,
0_room_1,1_room_28,3769.7914707307473,,
0_room_1,1_room_29,3797.35515560789,,
0_room_1,1_room_3,2267.4873765875627,,
0_room_1,1_room_30,3370.956288214201,,
0_room_1,1_room_31,3273.415049835644,,
0_room_1,1_room_32,3151.977868867618,,
0_room_1,1_room_33,2641.021932913126,,
0_room_1,1_room_34,3712.515927032693,,
0_room_1,1_room_4,4602.693008747078,,
0_room_1,1_room_5,2331.100055407232,,
0_room_1,1_room_6,2102.730940364679,,
0_room_1,1_room_7,4530.9652684133525,,
0_room_1,1_room_8,4505.482282442143,,
0_room_1,1_room_9,4442.106971090863,,
0_room_2,1_room_1,5137.846780819627,,
0_room_2,1_room_10,4567.989671446317,,
0_room_2,1_room_11,4494.49289160376,,
0_room_2,1_room_12,4467.478873526894,,
0_room_2,1_room_13,2012.575449117644,,
0_room_2,1_room_14,4375.741298270537,,
0_room_2,1_room_15,4349.916939829002,,
0_room_2,1_room_16,2357.4896470597546,,
0_room_2,1_room_17,4262.553741147525,,
0_room_2,1_room_18,4246.780896304349,,
0_room_2,1_room_19,2252.442168434517,,
0_room_2,1_room_2,4857.36993330609,,
0_room_2,1_room_20,4135.745883907036,,
0_room_2,1_room_21,4162.366896239383,,
0_room_2,1_room_22,2356.783292503881,,
0_room_2,1_room_23,2731.5824052298112,,
0_room_2,1_room_24,4035.4972656119303,,
0_room_2,1_room_25,4059.8447736031558,,
0_room_2,1_room_26,2467.4188981852208,,
0_room_2,1_room_27,2589.453586166061,,
0_room_2,1_room_28,3921.354058810067,,
0_room_2,1_room_29,3948.9177436872096,,
0_room_2,1_room_3,2419.0499646668814,,
0_room_2,1_room_30,3522.5188762935204,,
0_room_2,1_room_31,3424.9776379149635,,
0_room_2,1_room_32,3303.5404569469374,,
0_room_2,1_room_33,2792.5845209924455,,
0_room_2,1_room_34,3864.0785151120126,,
0_room_2,1_room_4,4754.255596826398,,
0_room_2,1_room_5,2482.6626434865507,,
0_room_2,1_room_6,2254.2935284439977,,
0_room_2,1_room_7,4682.527856492672,,
0_room_2,1_room_8,4657.044870521462,,
0_room_2,1_room_9,4593.669559170183,,
0_room_3,1_room_1,5177.614942284282,,
0_room_3,1_room_10,4607.757832910971,,
0_room_3,1_room_11,4534.261053068414,,
0_room_3,1_room_12,4507.247034991548,,
0_room_3,1_room_13,2052.343610582298,,
0_room_3,1_room_14,4415.509459735192,,
0_room_3,1_room_15,4389.685101293657,,
0_room_3,1_room_16,2397.2578085244086,,
0_room_3,1_room_17,4302.32190261218,,
0_room_3,1_room_18,4286.549057769003,,
0_room_3,1_room_19,2292.2103298991715,,
0_room_3,1_room_2,4897.138094770745,,
0_room_3,1_room_20,4175.51404537169,,
0_room_3,1_room_21,4202.135057704037,,
0_room_3,1_room_22,2396.5514539685355,,
0_room_3,1_room_23,2771.3505666944657,,
0_room_3,1_room_24,4075.2654270765847,,
0_room_3,1_room_25,4099.61293506781,,
0_room_3,1_room_26,2507.187059649875,,
0_room_3,1_room_27,2629.2217476307155,,
0_room_3,1_room_28,3961.1222202747213,,
0_room_3,1_room_29,3988.685905151864,,
0_room_3,1_room_3,2458.818126131536,,
0_room_3,1_room_30,3562.287037758175,,
0_room_3,1_room_31,3464.745799379618,,
0_room_3,1_room_32,3343.308618411592,,
0_room_3,1_room_33,2832.3526824571,,
0_room_3,1_room_34,3903.846676576667,,
0_room_3,1_room_4,4794.023758291052,,
0_room_3,1_room_5,2522.430804951205,,
0_room_3,1_room_6,2294.0616899086517,,
0_room_3,1_room_7,4722.2960179573265,,
0_room_3,1_room_8,4696.813031986117,,
0_room_3,1_room_9,4633.437720634837,,
