variant,subnode,route_px,stretch_vs_full
full,room_1_subnode_1,251.43519033148408,1.0
full,room_1_subnode_2,257.2405036374884,1.0
full,room_1_subnode_3,296.26190228254944,1.0
full,room_1_subnode_4,295.3684750017616,1.0
full,room_1_subnode_5,309.59911059487257,1.0
full,room_1_subnode_6,349.0031498148352,1.0
full,room_2_subnode_1,155.66630977832037,1.0
full,room_2_subnode_2,101.24228365658294,1.0
full,room_2_subnode_3,110.5350623105628,1.0
full,room_2_subnode_4,171.1286066091815,1.0
full,room_2_subnode_5,202.20039564748632,1.0
full,room_2_subnode_6,153.48289807011074,1.0
full,room_2_subnode_7,118.51160280748886,1.0
full,room_2_subnode_8,103.12128781197411,1.0
full,room_2_subnode_9,127.63228431709588,1.0
full,room_2_subnode_10,163.51758315239374,1.0
full,room_2_subnode_11,216.0925727552893,1.0
full,room_2_subnode_12,211.19185590358356,1.0
full,room_2_subnode_13,173.97126199461795,1.0
full,room_2_subnode_14,164.23458831805192,1.0
full,room_2_subnode_15,187.9627622695517,1.0
full,room_2_subnode_16,221.33458834985552,1.0
full,room_2_subnode_17,273.4702908909851,1.0
full,room_2_subnode_18,239.7269279826528,1.0
full,room_2_subnode_19,214.89532335534898,1.0
full,room_2_subnode_20,207.1183236703117,1.0
full,room_2_subnode_21,224.04017496868727,1.0
full,room_2_subnode_22,247.4772716836841,1.0
full,room_2_subnode_23,284.94560884491625,1.0
full,room_2_subnode_24,301.5294347157504,1.0
full,room_2_subnode_25,272.02941017470886,1.0
full,room_2_subnode_26,260.8466982731428,1.0
full,room_2_subnode_27,262.3451924468981,1.0
full,room_2_subnode_28,280.912797857271,1.0
full,room_2_subnode_29,310.074184671991,1.0
full,room_3_subnode_1,2224.4337468390113,1.0
full,room_3_subnode_2,2220.414219187701,1.0
full,room_3_subnode_3,2197.173825895806,1.0
full,room_8_subnode_1,369.1053696499396,1.0
full,room_10_subnode_1,2287.1271950583505,1.0
full,room_10_subnode_2,2263.734666775057,1.0
full,room_10_subnode_3,2216.986611456213,1.0
full,room_11_subnode_1,476.47463558085906,1.0
full,room_12_subnode_1,609.0691884694077,1.0
full,room_15_subnode_1,1744.614475164206,1.0
full,room_15_subnode_2,1755.0572599272284,1.0
full,room_15_subnode_3,1797.2470944416507,1.0
full,room_15_subnode_4,1812.5114301764208,1.0
full,room_15_subnode_5,1847.7058294579444,1.0
full,room_15_subnode_6,1845.1568475798447,1.0
full,room_17_subnode_1,2070.4986035037914,1.0
full,room_18_subnode_1,1566.7934594758156,1.0
full,room_18_subnode_2,1507.2234100519179,1.0
full,room_18_subnode_3,1455.9028992723152,1.0
full,room_18_subnode_4,1579.3710358988135,1.0
full,room_18_subnode_5,1517.62497939874,1.0
full,room_18_subnode_6,1460.0874176537914,1.0
full,room_18_subnode_7,1407.7109538700968,1.0
full,room_18_subnode_8,1353.7744604097002,1.0
full,room_18_subnode_9,1609.4746038143082,1.0
full,room_18_subnode_10,1544.5378913488273,1.0
full,room_18_subnode_11,1492.5809312161005,1.0
full,room_18_subnode_12,1429.509789835515,1.0
full,room_18_subnode_13,1370.6019687667701,1.0
full,room_18_subnode_14,1309.3021344823946,1.0
full,room_18_subnode_15,1357.500028777501,1.0
full,room_18_subnode_16,1415.4797483539458,1.0
full,room_18_subnode_17,1470.6585907832775,1.0
full,room_18_subnode_18,1523.8721286986017,1.0
full,room_18_subnode_19,1463.0263966999335,1.0
full,room_18_subnode_20,1415.8158699799387,1.0
full,room_18_subnode_21,1359.9719566559554,1.0
full,room_18_subnode_22,1327.5775737478566,1.0
full,room_18_subnode_23,1354.9849406685944,1.0
full,room_18_subnode_24,1401.9419382208212,1.0
full,room_18_subnode_25,1457.349426138584,1.0
full,room_18_subnode_26,1510.0177448031948,1.0
full,room_18_subnode_27,1567.9083390424062,1.0
full,room_18_subnode_28,1461.4205806478562,1.0
full,room_18_subnode_29,1419.3446670781848,1.0
full,room_18_subnode_30,1391.8413163285134,1.0
full,room_18_subnode_31,1382.1744759040544,1.0
full,room_18_subnode_32,1413.3583236434795,1.0
full,room_18_subnode_33,1451.9565744232216,1.0
full,room_18_subnode_34,1502.560338826269,1.0
full,room_18_subnode_35,1555.7664760198156,1.0
full,room_18_subnode_36,1610.3887241670475,1.0
full,room_18_subnode_37,1449.6270662471293,1.0
full,room_18_subnode_38,1435.4310043691678,1.0
full,room_18_subnode_39,1441.4900428840647,1.0
full,room_18_subnode_40,1470.2643297329055,1.0
full,room_18_subnode_41,1511.1484638610848,1.0
full,room_18_subnode_42,1555.652182076964,1.0
full,room_18_subnode_43,1610.8382336729985,1.0
full,room_18_subnode_44,1492.354802560374,1.0
full,room_18_subnode_45,1505.1089469086614,1.0
full,room_18_subnode_46,1527.3743330653729,1.0
full,room_18_subnode_47,1563.5345417621195,1.0
full,room_18_subnode_48,1660.7543403104848,1.0
full,room_19_subnode_1,2138.5951325029487,1.0
full,room_20_subnode_1,2642.105519615855,1.0
full,room_20_subnode_2,2702.138843695069,1.0
full,room_20_subnode_3,2764.2113819064234,1.0
full,room_20_subnode_4,2460.024419398501,1.0
full,room_20_subnode_5,2518.024419398501,1.0
full,room_20_subnode_6,2766.0919515163478,1.0
full,room_21_subnode_1,1223.758184223596,1.0
full,room_21_subnode_2,1166.0469643096842,1.0
full,room_21_subnode_3,1249.297647589701,1.0
full,room_21_subnode_4,1193.2983472264218,1.0
full,room_21_subnode_5,1071.449092928552,1.0
full,room_21_subnode_6,1285.154458865164,1.0
full,room_21_subnode_7,1227.881187483442,1.0
full,room_21_subnode_8,1169.3487975421526,1.0
full,room_21_subnode_9,1115.508778380201,1.0
full,room_21_subnode_10,1078.9109079300865,1.0
funneling,room_1_subnode_1,251.43519033148408,1.0
funneling,room_1_subnode_2,319.0369654561064,1.2402283502978346
funneling,room_1_subnode_3,314.99618465976687,1.0632355433921108
funneling,room_1_subnode_4,372.57200071340304,1.2613803849959986
funneling,room_1_subnode_5,371.03188756425453,1.198426852232693
funneling,room_1_subnode_6,371.0764842310067,1.0632468057319329
funneling,room_2_subnode_1,162.25047982726153,1.0422966925747612
funneling,room_2_subnode_2,101.24228365658294,1.0
funneling,room_2_subnode_3,345.30786086257507,3.123966763526918
