Node_ID	Position	Filled_Area
room_1	(378.0, 107.5)	71919
room_2	(530.0, 291.5)	36036
room_3	(238.0, 335.5)	25584
room_4	(1424.0, 387.0)	-45586
room_5	(531.5, 404.0)	63987
room_6	(1106.5, 426.5)	347901
room_7	(1741.75, 429.25)	-160084
room_8	(206.5, 505.5)	-27816
room_9	(534.5, 507.5)	87780
room_10	(206.5, 610.5)	-36708
room_11	(533.0, 612.0)	440690
room_12	(206.5, 712.5)	111162
room_13	(531.5, 712.5)	135135
room_14	(1613.0, 807.0)	2168068
room_15	(1808.5, 807.0)	3823581
room_16	(206.5, 813.0)	-52288
room_17	(533.0, 813.0)	1034919
room_18	(1173.5, 828.0)	1199195
room_19	(206.5, 919.5)	341673
room_20	(531.5, 919.5)	673029
room_21	(1629.5, 949.5)	1082103
room_22	(533.0, 1024.0)	749238
room_23	(206.5, 1024.0)	153156
room_24	(1631.0, 1050.0)	4632113
room_25	(1269.0, 1077.5)	3386856
room_26	(530.0, 1120.0)	227304
room_27	(206.5, 1132.0)	167876
room_28	(1632.5, 1150.5)	3216767
room_29	(1634.0, 1252.0)	1496044
room_30	(534.5, 1260.5)	642315
room_31	(222, 1299)	-42722
room_32	(680.5, 1299.5)	539213
room_33	(793.5, 1299.5)	663964
room_34	(890.5, 1299.5)	1938249
room_35	(1038.0, 1299.5)	886932
room_37	(543.5, 1361.5)	274275
