Node_ID	Position	Filled_Area
outside_main_1	(np.float64(771.5), np.float64(542.0))	853608
corridor_main_1	(np.float64(469.0), np.float64(223.0))	3346
corridor_main_2	(np.float64(177.5), np.float64(405.5))	22636
corridor_main_3	(np.float64(1427.0), np.float64(680.5))	623628
corridor_main_4	(np.float64(1220.0), np.float64(735.0))	4046
corridor_main_5	(np.float64(1757.0), np.float64(737.0))	18193
room_1	(np.float64(379.5), np.float64(107.5))	81114
room_2	(np.float64(530.0), np.float64(291.5))	18605
room_3	(np.float64(1424.0), np.float64(387.0))	85437
room_4	(np.float64(531.5), np.float64(405.5))	16913
room_5	(np.float64(1106.5), np.float64(426.5))	117302
room_6	(np.float64(1741.75), np.float64(429.25))	108387
room_7	(np.float64(206.5), np.float64(505.5))	17938
room_8	(np.float64(534.5), np.float64(507.5))	16946
room_9	(np.float64(206.5), np.float64(610.5))	16648
room_10	(np.float64(533.0), np.float64(612.0))	17127
room_11	(np.float64(206.5), np.float64(712.5))	16833
room_12	(np.float64(531.5), np.float64(712.5))	17196
room_13	(np.float64(1616.0), np.float64(808.5))	20088
room_14	(np.float64(206.5), np.float64(813.0))	16886
room_15	(np.float64(533.0), np.float64(813.0))	17089
room_16	(np.float64(1173.5), np.float64(828.0))	72613
room_17	(np.float64(206.5), np.float64(919.5))	16800
room_18	(np.float64(531.5), np.float64(919.5))	17092
room_19	(np.float64(1629.5), np.float64(949.5))	17790
room_20	(np.float64(533.0), np.float64(1024.0))	17061
room_21	(np.float64(206.5), np.float64(1024.0))	16863
room_22	(np.float64(1631.0), np.float64(1050.0))	17524
room_23	(np.float64(1270.5), np.float64(1077.5))	48621
room_24	(np.float64(530.0), np.float64(1120.0))	19567
room_25	(np.float64(206.5), np.float64(1132.0))	19524
room_26	(np.float64(1632.5), np.float64(1150.5))	17544
room_27	(np.float64(1634.0), np.float64(1252.0))	17373
room_28	(np.float64(548.0), np.float64(1263.0))	13452
room_29	(np.float64(205.0), np.float64(1299.5))	28748
room_30	(np.float64(680.5), np.float64(1299.5))	18557
room_31	(np.float64(793.5), np.float64(1299.5))	16902
room_32	(np.float64(890.5), np.float64(1299.5))	17072
room_33	(np.float64(1038.0), np.float64(1299.5))	18832
room_34	(np.float64(543.5), np.float64(1361.5))	16312
