Node_ID	Position	Filled_Area
outside_main_1	(np.float64(271.5), np.float64(116.5))	14195
corridor_main_1	(np.float64(489.5), np.float64(342.5))	7135
corridor_main_2	(np.float64(656.5), np.float64(474.5))	4166
corridor_main_3	(np.float64(459.5), np.float64(560.5))	14128
corridor_main_4	(np.float64(1472.0), np.float64(841.0))	14030
corridor_main_5	(np.float64(1067.0), np.float64(1021.5))	13287
room_1	(np.float64(1462.0), np.float64(56.5))	5376
room_2	(np.float64(1531.0), np.float64(56.5))	5568
room_3	(np.float64(1398.5), np.float64(58.0))	5464
room_4	(np.float64(1583.0), np.float64(123.0))	2903
room_5	(np.float64(1330.0), np.float64(125.5))	4695
room_6	(np.float64(690.0), np.float64(141.5))	11176
room_7	(np.float64(1320.0), np.float64(216.5))	6200
room_8	(np.float64(1092.0), np.float64(218.5))	9630
room_9	(np.float64(1312.5), np.float64(305.0))	5708
room_10	(np.float64(292.5), np.float64(318.5))	15123
room_11	(np.float64(817.5), np.float64(376.5))	14899
room_12	(np.float64(1306.0), np.float64(385.0))	6380
room_13	(np.float64(608.0), np.float64(402.0))	2663
room_14	(np.float64(1297.5), np.float64(460.5))	7772
room_15	(np.float64(326.0), np.float64(466.0))	5453
room_16	(np.float64(1557.0), np.float64(475.5))	4565
room_17	(np.float64(231.0), np.float64(490.5))	5871
room_18	(np.float64(1265.0), np.float64(543.5))	5142
room_19	(np.float64(1553.0), np.float64(554.5))	3837
room_20	(np.float64(771.5), np.float64(589.0))	8869
room_21	(np.float64(582.0), np.float64(600.5))	8571
room_22	(np.float64(281.0), np.float64(607.0))	14855
room_23	(np.float64(1257.5), np.float64(622.5))	5935
room_24	(np.float64(1556.0), np.float64(636.5))	3962
room_25	(np.float64(1249.0), np.float64(714.0))	7038
room_26	(np.float64(1422.0), np.float64(716.5))	7402
room_27	(np.float64(1548.0), np.float64(717.5))	3725
room_28	(np.float64(921.0), np.float64(761.5))	14657
room_29	(np.float64(297.5), np.float64(775.0))	14123
room_30	(np.float64(1245.0), np.float64(785.5))	7728
room_31	(np.float64(704.0), np.float64(804.0))	3841
room_32	(np.float64(188.0), np.float64(893.5))	4573
room_33	(np.float64(1260.0), np.float64(893.5))	13434
room_34	(np.float64(351.0), np.float64(897.5))	5336
room_35	(np.float64(83.0), np.float64(913.5))	9934
