346,91,413,91,413,124,346,124 | 1001
446,212,492,212,492,234,446,234 | hall
492,273,568,273,568,310,492,310 | 1013
194,322,273,322,273,355,194,355 | stairs
1389,370,1459,370,1459,404,1389,404 | 1031
495,389,568,389,568,422,495,422 | 1014
155,395,200,395,200,416,155,416 | hall
1070,410,1143,410,1143,443,1070,443 | 1030
1706,408,1780,412,1778,451,1703,446 | 1032
170,489,243,489,243,522,170,522 | 1004
495,489,574,489,574,526,495,526 | 1015
732,519,811,519,811,565,732,565 | na
170,595,243,595,243,626,170,626 | 1005
495,595,571,595,571,629,495,629 | 1016
1374,659,1480,659,1480,702,1374,702 | hall
170,696,243,696,243,729,170,729 | 1006
495,696,568,696,568,729,495,729 | 1017
1191,723,1249,723,1249,747,1191,747 | hall
1724,723,1790,723,1790,751,1724,751 | hall
1772,787,1836,787,1836,817,1772,817 | stairs
1578,790,1654,790,1654,827,1578,827 | 1036
170,796,243,796,243,830,170,830 | 1007
495,796,571,796,571,830,495,830 | 1018
1137,811,1210,811,1210,845,1137,845 | 1029
170,903,243,903,243,936,170,936 | 1008
495,903,568,903,568,936,495,936 | 1019
1593,933,1666,933,1666,966,1593,966 | 1037
495,1006,571,1006,571,1042,495,1042 | 1020
170,1009,243,1009,243,1039,170,1039 | 1009
1593,1033,1669,1033,1669,1067,1593,1067 | 1038
1234,1061,1307,1061,1307,1094,1234,1094 | 1028
495,1103,565,1103,565,1137,495,1137 | 1021
170,1115,243,1115,243,1149,170,1149 | 1010
1596,1134,1669,1134,1669,1167,1596,1167 | 1039
1596,1234,1672,1234,1672,1270,1596,1270 | 1040
519,1246,577,1246,577,1280,519,1280 | 022
176,1283,234,1283,234,1316,176,1316 | 101
644,1283,717,1283,717,1316,644,1316 | 1024
757,1283,830,1283,830,1316,757,1316 | 1025
854,1283,927,1283,927,1316,854,1316 | 1026
1003,1283,1073,1283,1073,1316,1003,1316 | 1027
504,1343,583,1343,583,1380,504,1380 | 1023
1550,1362,1608,1362,1608,1392,1550,1392 | elev
