floor,src,dst,stretch_skeleton,stretch_tesseract
FF part 2up,room_1,exit_door_1,,
FF part 2up,room_1,exit_door_2,1.1950794009214012,1.0956184769058648
FF part 2up,room_1,exit_door_3,,
FF part 2up,room_1,exit_door_4,,
FF part 2up,room_1,exit_door_5,,
FF part 2up,room_1,exit_door_6,,
FF part 2up,room_1,exit_door_7,,
FF part 2up,room_1,exit_door_8,1.182135156072523,1.0670066297437575
FF part 2up,room_1,exit_door_9,,
FF part 2up,room_1,exit_door_10,1.1861495073150812,1.023652362582274
FF part 2up,room_2,exit_door_1,,
FF part 2up,room_2,exit_door_2,1.2067643250731215,1.0963756163852225
FF part 2up,room_2,exit_door_3,,
FF part 2up,room_2,exit_door_4,,
FF part 2up,room_2,exit_door_5,,
FF part 2up,room_2,exit_door_6,,
FF part 2up,room_2,exit_door_7,,
FF part 2up,room_2,exit_door_8,1.194642003072034,1.0678347442945784
FF part 2up,room_2,exit_door_9,,
FF part 2up,room_2,exit_door_10,1.2042636868995613,1.024892065991283
FF part 2up,room_2,room_35,1.171605081153672,1.0444442790685906
FF part 2up,room_3,exit_door_1,,
FF part 2up,room_3,exit_door_2,1.186246178491624,1.0905341869147538
FF part 2up,room_3,exit_door_3,,
FF part 2up,room_3,exit_door_4,,
FF part 2up,room_3,exit_door_5,,
FF part 2up,room_3,exit_door_6,,
FF part 2up,room_3,exit_door_7,,
FF part 2up,room_3,exit_door_8,1.1728997442577533,1.0620237108133834
FF part 2up,room_3,exit_door_9,,
FF part 2up,room_3,exit_door_10,1.1727699160167258,1.017463760591718
FF part 2up,room_4,exit_door_1,,
FF part 2up,room_4,exit_door_2,,
FF part 2up,room_4,exit_door_3,,
FF part 2up,room_4,exit_door_4,,
FF part 2up,room_4,exit_door_5,,
FF part 2up,room_4,exit_door_6,,
FF part 2up,room_4,exit_door_7,,
FF part 2up,room_4,exit_door_8,,
FF part 2up,room_4,exit_door_9,,
FF part 2up,room_4,exit_door_10,,
FF part 2up,room_4,room_27,,
FF part 2up,room_5,exit_door_1,,
FF part 2up,room_5,exit_door_2,1.2037004320335443,1.101404100893622
FF part 2up,room_5,exit_door_3,,
FF part 2up,room_5,exit_door_4,,
FF part 2up,room_5,exit_door_5,,
FF part 2up,room_5,exit_door_6,,
FF part 2up,room_5,exit_door_7,,
FF part 2up,room_5,exit_door_8,1.191293194626918,1.0730498335282916
FF part 2up,room_5,exit_door_9,,
FF part 2up,room_5,exit_door_10,1.1994808912540489,1.0321047134220773
FF part 2up,room_5,room_18,1.181411560320283,1.0684872329657367
FF part 2up,room_5,room_29,1.2000652821522064,1.055043449437065
FF part 2up,room_6,exit_door_1,1.616894332663534,1.3648281289928306
FF part 2up,room_6,exit_door_2,,
FF part 2up,room_6,exit_door_3,1.3529166158089674,1.1235120526886817
FF part 2up,room_6,exit_door_4,,
FF part 2up,room_6,exit_door_5,,
FF part 2up,room_6,exit_door_6,,
FF part 2up,room_6,exit_door_7,,
FF part 2up,room_6,exit_door_8,,
FF part 2up,room_6,exit_door_9,,
FF part 2up,room_6,exit_door_10,,
FF part 2up,room_6,room_20,,
FF part 2up,room_7,exit_door_1,,
FF part 2up,room_7,exit_door_2,1.2210456423466134,1.1094284678863562
FF part 2up,room_7,exit_door_3,,
FF part 2up,room_7,exit_door_4,,
FF part 2up,room_7,exit_door_5,,
FF part 2up,room_7,exit_door_6,,
FF part 2up,room_7,exit_door_7,,
FF part 2up,room_7,exit_door_8,1.2096181770280994,1.0810525556061454
FF part 2up,room_7,exit_door_9,,
FF part 2up,room_7,exit_door_10,1.2266038586892039,1.042578631407059
