floor,category,fraction,n_removed,draw,completeness,exit_reachability,n_components
FF part 1upE,random-all,0.0,0,0,1.0,1.0,2
FF part 1upE,random-all,0.1,4,0,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,1,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,2,0.8288770053475936,0.9117647058823529,6
FF part 1upE,random-all,0.1,4,3,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,4,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,5,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,6,0.8288770053475936,0.9117647058823529,6
FF part 1upE,random-all,0.1,4,7,0.8841354723707665,0.9411764705882353,5
FF part 1upE,random-all,0.1,4,8,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,9,0.8841354723707665,0.9411764705882353,6
FF part 1upE,random-all,0.1,4,10,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,11,0.8288770053475936,0.9117647058823529,6
FF part 1upE,random-all,0.1,4,12,0.8288770053475936,0.9117647058823529,6
FF part 1upE,random-all,0.1,4,13,0.8288770053475936,0.9117647058823529,6
FF part 1upE,random-all,0.1,4,14,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,15,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,16,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,17,0.7754010695187166,0.8823529411764706,6
FF part 1upE,random-all,0.1,4,18,0.8288770053475936,0.9117647058823529,6
FF part 1upE,random-all,0.1,4,19,0.8288770053475936,0.9117647058823529,6
FF part 1upE,random-all,0.2,8,0,0.6737967914438503,0.8235294117647058,10
FF part 1upE,random-all,0.2,8,1,0.6256684491978609,0.7941176470588235,10
FF part 1upE,random-all,0.2,8,2,0.5793226381461676,0.7647058823529411,10
FF part 1upE,random-all,0.2,8,3,0.5793226381461676,0.7647058823529411,10
FF part 1upE,random-all,0.2,8,4,0.6256684491978609,0.7941176470588235,10
FF part 1upE,random-all,0.2,8,5,0.5793226381461676,0.7647058823529411,10
FF part 1upE,random-all,0.2,8,6,0.6256684491978609,0.7941176470588235,10
FF part 1upE,random-all,0.2,8,7,0.6256684491978609,0.7941176470588235,10
FF part 1upE,random-all,0.2,8,8,0.6256684491978609,0.7941176470588235,10
FF part 1upE,random-all,0.2,8,9,0.5793226381461676,0.7647058823529411,10
FF part 1upE,random-all,0.2,8,10,0.6737967914438503,0.8235294117647058,10
FF part 1upE,random-all,0.2,8,11,0.6256684491978609,0.7941176470588235,9
FF part 1upE,random-all,0.2,8,12,0.6256684491978609,0.7941176470588235,9
FF part 1upE,random-all,0.2,8,13,0.6256684491978609,0.7941176470588235,9
FF part 1upE,random-all,0.2,8,14,0.6256684491978609,0.7941176470588235,10
FF part 1upE,random-all,0.2,8,15,0.6737967914438503,0.8235294117647058,9
FF part 1upE,random-all,0.2,8,16,0.6737967914438503,0.8235294117647058,9
FF part 1upE,random-all,0.2,8,17,0.5793226381461676,0.7647058823529411,10
FF part 1upE,random-all,0.2,8,18,0.6256684491978609,0.7941176470588235,9
FF part 1upE,random-all,0.2,8,19,0.6737967914438503,0.8235294117647058,9
FF part 1upE,random-all,0.3,12,0,0.4919786096256685,0.7058823529411765,14
FF part 1upE,random-all,0.3,12,1,0.5347593582887701,0.0,13
FF part 1upE,random-all,0.3,12,2,0.4919786096256685,0.7058823529411765,13
FF part 1upE,random-all,0.3,12,3,0.45098039215686275,0.6764705882352942,14
FF part 1upE,random-all,0.3,12,4,0.4117647058823529,0.6470588235294118,14
FF part 1upE,random-all,0.3,12,5,0.4117647058823529,0.6470588235294118,14
FF part 1upE,random-all,0.3,12,6,0.5793226381461676,0.7647058823529411,12
FF part 1upE,random-all,0.3,12,7,0.45098039215686275,0.6764705882352942,14
FF part 1upE,random-all,0.3,12,8,0.4919786096256685,,13
FF part 1upE,random-all,0.3,12,9,0.4919786096256685,0.7058823529411765,13
FF part 1upE,random-all,0.3,12,10,0.5793226381461676,0.7647058823529411,12
FF part 1upE,random-all,0.3,12,11,0.4919786096256685,0.7058823529411765,13
FF part 1upE,random-all,0.3,12,12,0.45098039215686275,0.6764705882352942,14
FF part 1upE,random-all,0.3,12,13,0.5347593582887701,0.0,13
FF part 1upE,random-all,0.3,12,14,0.4117647058823529,0.6470588235294118,14
FF part 1upE,random-all,0.3,12,15,0.4919786096256685,0.7058823529411765,14
FF part 1upE,random-all,0.3,12,16,0.4919786096256685,0.0,14
FF part 1upE,random-all,0.3,12,17,0.45098039215686275,0.6764705882352942,13
FF part 1upE,random-all,0.3,12,18,0.4919786096256685,0.0,13
FF part 1upE,random-all,0.3,12,19,0.4919786096256685,0.7058823529411765,14
FF part 1upE,random-all,0.4,16,0,0.33868092691622104,0.0,17
FF part 1upE,random-all,0.4,16,1,0.3048128342245989,0.5588235294117647,17
FF part 1upE,random-all,0.4,16,2,0.3048128342245989,0.5588235294117647,18
FF part 1upE,random-all,0.4,16,3,0.33868092691622104,0.5882352941176471,18
FF part 1upE,random-all,0.4,16,4,0.37433155080213903,0.6176470588235294,16
FF part 1upE,random-all,0.4,16,5,0.33868092691622104,0.5882352941176471,18
FF part 1upE,random-all,0.4,16,6,0.37433155080213903,0.6176470588235294,17
FF part 1upE,random-all,0.4,16,7,0.37433155080213903,0.0,17
FF part 1upE,random-all,0.4,16,8,0.37433155080213903,,17
FF part 1upE,random-all,0.4,16,9,0.33868092691622104,0.0,18
FF part 1upE,random-all,0.4,16,10,0.33868092691622104,0.5882352941176471,17
FF part 1upE,random-all,0.4,16,11,0.33868092691622104,0.5882352941176471,17
FF part 1upE,random-all,0.4,16,12,0.2727272727272727,0.5294117647058824,18
FF part 1upE,random-all,0.4,16,13,0.33868092691622104,0.5882352941176471,17
FF part 1upE,random-all,0.4,16,14,0.33868092691622104,0.5882352941176471,17
FF part 1upE,random-all,0.4,16,15,0.2727272727272727,0.5294117647058824,18
FF part 1upE,random-all,0.4,16,16,0.3048128342245989,0.5588235294117647,18
FF part 1upE,random-all,0.4,16,17,0.37433155080213903,0.6176470588235294,17
FF part 1upE,random-all,0.4,16,18,0.33868092691622104,0.5882352941176471,18
FF part 1upE,random-all,0.4,16,19,0.37433155080213903,0.0,18
FF part 1upE,random-all,0.5,20,0,0.21390374331550802,0.47058823529411764,21
FF part 1upE,random-all,0.5,20,1,0.2727272727272727,0.0,21
FF part 1upE,random-all,0.5,20,2,0.18716577540106952,0.4411764705882353,21
FF part 1upE,random-all,0.5,20,3,0.21390374331550802,0.0,21
FF part 1upE,random-all,0.5,20,4,0.21390374331550802,0.47058823529411764,22
FF part 1upE,random-all,0.5,20,5,0.21390374331550802,,21
FF part 1upE,random-all,0.5,20,6,0.24242424242424243,,21
FF part 1upE,random-all,0.5,20,7,0.24242424242424243,0.5,22
FF part 1upE,random-all,0.5,20,8,0.24242424242424243,0.5,21
FF part 1upE,random-all,0.5,20,9,0.2727272727272727,,20
FF part 1upE,random-all,0.5,20,10,0.3048128342245989,,20
FF part 1upE,random-all,0.5,20,11,0.18716577540106952,0.4411764705882353,22
FF part 1upE,random-all,0.5,20,12,0.24242424242424243,0.5,21
FF part 1upE,random-all,0.5,20,13,0.2727272727272727,0.0,21
FF part 1upE,random-all,0.5,20,14,0.2727272727272727,0.0,22
FF part 1upE,random-all,0.5,20,15,0.18716577540106952,0.4411764705882353,22
FF part 1upE,random-all,0.5,20,16,0.24242424242424243,0.0,20
FF part 1upE,random-all,0.5,20,17,0.24242424242424243,0.5,21
FF part 1upE,random-all,0.5,20,18,0.24242424242424243,,21
FF part 1upE,random-all,0.5,20,19,0.24242424242424243,0.0,22
FF part 1upE,r2c-only,0.0,0,0,1.0,1.0,2
FF part 1upE,r2c-only,0.1,3,0,0.8288770053475936,0.9117647058823529,5
FF part 1upE,r2c-only,0.1,3,1,0.8288770053475936,0.9117647058823529,5
FF part 1upE,r2c-only,0.1,3,2,0.8288770053475936,0.9117647058823529,5
FF part 1upE,r2c-only,0.1,3,3,0.8288770053475936,0.9117647058823529,5
