floor,room,egress_dist_px
1,1_room_1,738.4232395200199
1,1_room_2,481.37784951155925
1,1_room_3,888.0294793025322
1,1_room_4,463.2295649855929
1,1_room_5,951.6421581222021
1,1_room_6,723.2730430796487
1,1_room_7,494.93328215694373
1,1_room_8,519.1559236705053
1,1_room_9,606.0749848344534
1,1_room_10,630.1007245953601
1,1_room_11,706.898317268031
1,1_room_12,729.5899266759372
1,1_room_13,481.5549637532947
1,1_room_14,828.1467239348085
1,1_room_15,852.027992978046
1,1_room_16,826.4691616954053
1,1_room_17,914.9591668117966
1,1_room_18,948.891949453392
1,1_room_19,721.4216830701679
1,1_room_20,1037.8569370560792
1,1_room_21,1014.7723219036538
1,1_room_22,825.7628071395319
1,1_room_23,1200.5619198654601
1,1_room_24,1137.6083187609736
1,1_room_25,1112.250199267427
1,1_room_26,936.3984128208722
1,1_room_27,1058.433100801712
1,1_room_28,1303.4651119591103
1,1_room_29,1502.7445255887912
1,1_room_30,1681.1984719374877
1,1_room_31,1783.6572335589306
1,1_room_32,1772.5199715825865
1,1_room_33,1261.5640356280937
1,1_room_34,1326.1895682610557
2,2_room_1,738.4232395200199
2,2_room_2,481.37784951155925
2,2_room_3,888.0294793025322
2,2_room_4,463.2295649855929
2,2_room_5,951.6421581222021
2,2_room_6,723.2730430796487
2,2_room_7,494.93328215694373
2,2_room_8,519.1559236705053
2,2_room_9,606.0749848344534
2,2_room_10,630.1007245953601
2,2_room_11,706.898317268031
2,2_room_12,729.5899266759372
2,2_room_13,481.5549637532947
2,2_room_14,828.1467239348085
2,2_room_15,852.027992978046
2,2_room_16,826.4691616954053
2,2_room_17,914.9591668117966
2,2_room_18,948.891949453392
2,2_room_19,721.4216830701679
2,2_room_20,1037.8569370560792
2,2_room_21,1014.7723219036538
2,2_room_22,825.7628071395319
2,2_room_23,1200.5619198654601
2,2_room_24,1137.6083187609736
2,2_room_25,1112.250199267427
2,2_room_26,936.3984128208722
2,2_room_27,1058.433100801712
2,2_room_28,1303.4651119591103
2,2_room_29,1502.7445255887912
2,2_room_30,1681.1984719374877
2,2_room_31,1783.6572335589306
2,2_room_32,1772.5199715825865
2,2_room_33,1261.5640356280937
2,2_room_34,1326.1895682610557
