from,to,dist_normal,dist_accessible,ratio
0_room_1,1_room_1,1394.694124597511,,
0_room_1,1_room_10,1286.3716096728513,,
0_room_1,1_room_11,1363.1692023455219,,
0_room_1,1_room_12,1385.8608117534282,,
0_room_1,1_room_13,3776.6428122934203,,
0_room_1,1_room_14,1484.4176090122996,,
0_room_1,1_room_15,1508.298878055537,,
0_room_1,1_room_16,3956.704196493144,,
0_room_1,1_room_17,1571.2300518892876,,
0_room_1,1_room_18,1605.1628345308832,,
0_room_1,1_room_19,3559.940989115369,,
0_room_1,1_room_2,1137.6487345890505,,
0_room_1,1_room_20,1694.1278221335704,,
0_room_1,1_room_21,1671.043206981145,,
0_room_1,1_room_22,3464.282113184733,,
0_room_1,1_room_23,3433.7717296368114,,
0_room_1,1_room_24,1793.8792038384645,,
0_room_1,1_room_25,1768.5210843449179,,
0_room_1,1_room_26,3374.917718866073,,
0_room_1,1_room_27,3276.952406846913,,
0_room_1,1_room_28,1959.7359970366015,,
0_room_1,1_room_29,2159.0154106662826,,
0_room_1,1_room_3,4069.0198370987628,,
0_room_1,1_room_30,2337.469357014979,,
0_room_1,1_room_31,2439.928118636422,,
0_room_1,1_room_32,2558.490937668396,,
0_room_1,1_room_33,3337.2406291986763,,
0_room_1,1_room_34,1982.4604533385468,,
0_room_1,1_room_4,1119.5004500630841,,
0_room_1,1_room_5,4085.7696009082806,,
0_room_1,1_room_6,4062.253299608113,,
0_room_1,1_room_7,1151.2041672344349,,
0_room_1,1_room_8,1175.4268087479966,,
0_room_1,1_room_9,1262.3458699119444,,
0_room_2,1_room_1,1649.6881701819054,,
0_room_2,1_room_10,1541.3656552572459,,
0_room_2,1_room_11,1618.1632479299165,,
0_room_2,1_room_12,1640.8548573378228,,
0_room_2,1_room_13,4031.6368578778156,,
0_room_2,1_room_14,1739.4116545966942,,
0_room_2,1_room_15,1763.2929236399316,,
0_room_2,1_room_16,4211.698242077539,,
0_room_2,1_room_17,1826.2240974736821,,
0_room_2,1_room_18,1860.1568801152778,,
0_room_2,1_room_19,3814.9350346997644,,
0_room_2,1_room_2,1392.6427801734449,,
0_room_2,1_room_20,1949.121867717965,,
0_room_2,1_room_21,1926.0372525655396,,
0_room_2,1_room_22,3719.2761587691284,,
0_room_2,1_room_23,3688.7657752212067,,
0_room_2,1_room_24,2048.8732494228593,,
0_room_2,1_room_25,2023.5151299293125,,
0_room_2,1_room_26,3629.911764450468,,
0_room_2,1_room_27,3531.9464524313084,,
0_room_2,1_room_28,2214.730042620996,,
0_room_2,1_room_29,2414.0094562506774,,
0_room_2,1_room_3,4324.013882683158,,
0_room_2,1_room_30,2592.4634025993737,,
0_room_2,1_room_31,2694.9221642208167,,
0_room_2,1_room_32,2813.4849832527907,,
0_room_2,1_room_33,3592.2346747830716,,
0_room_2,1_room_34,2237.4544989229416,,
0_room_2,1_room_4,1374.4944956474785,,
0_room_2,1_room_5,4340.763646492676,,
0_room_2,1_room_6,4317.247345192508,,
0_room_2,1_room_7,1406.1982128188292,,
0_room_2,1_room_8,1430.420854332391,,
0_room_2,1_room_9,1517.339915496339,,
0_room_3,1_room_1,1689.4563316465594,,
0_room_3,1_room_10,1581.1338167218998,,
0_room_3,1_room_11,1657.9314093945704,,
0_room_3,1_room_12,1680.6230188024767,,
0_room_3,1_room_13,4071.405019342469,,
0_room_3,1_room_14,1779.1798160613482,,
0_room_3,1_room_15,1803.0610851045856,,
0_room_3,1_room_16,4251.466403542193,,
0_room_3,1_room_17,1865.9922589383361,,
0_room_3,1_room_18,1899.9250415799318,,
0_room_3,1_room_19,3854.703196164418,,
0_room_3,1_room_2,1432.4109416380988,,
0_room_3,1_room_20,1988.890029182619,,
0_room_3,1_room_21,1965.8054140301936,,
0_room_3,1_room_22,3759.044320233782,,
0_room_3,1_room_23,3728.53393668586,,
0_room_3,1_room_24,2088.6414108875133,,
0_room_3,1_room_25,2063.2832913939665,,
0_room_3,1_room_26,3669.6799259151217,,
0_room_3,1_room_27,3571.714613895962,,
0_room_3,1_room_28,2254.49820408565,,
0_room_3,1_room_29,2453.777617715331,,
0_room_3,1_room_3,4363.782044147812,,
0_room_3,1_room_30,2632.231564064027,,
0_room_3,1_room_31,2734.6903256854703,,
0_room_3,1_room_32,2853.2531447174442,,
0_room_3,1_room_33,3632.002836247725,,
0_room_3,1_room_34,2277.222660387595,,
0_room_3,1_room_4,1414.2626571121325,,
0_room_3,1_room_5,4380.53180795733,,
0_room_3,1_room_6,4357.0155066571615,,
0_room_3,1_room_7,1445.9663742834832,,
0_room_3,1_room_8,1470.189015797045,,
0_room_3,1_room_9,1557.108076960993,,
