variant,subnode,route_px,stretch_vs_full
full,room_1_subnode_1,962.5293436203547,1.0
full,room_1_subnode_2,908.7457832113125,1.0
full,room_1_subnode_3,854.7308644976326,1.0
full,room_1_subnode_4,806.3756052660267,1.0
full,room_1_subnode_5,764.7319625653929,1.0
full,room_1_subnode_6,737.4519412244828,1.0
full,room_1_subnode_7,725.0390234757518,1.0
full,room_1_subnode_8,731.6990047066421,1.0
full,room_1_subnode_9,919.6858505314901,1.0
full,room_1_subnode_10,858.5545849757259,1.0
full,room_1_subnode_11,809.002720673124,1.0
full,room_1_subnode_12,677.3374861237704,1.0
full,room_1_subnode_13,676.7691956822333,1.0
full,room_1_subnode_14,703.54854291001,1.0
full,room_1_subnode_15,936.2520480242347,1.0
full,room_1_subnode_16,879.3899830482012,1.0
full,room_1_subnode_17,760.3150995180325,1.0
full,room_1_subnode_18,646.300151585076,1.0
full,room_1_subnode_19,621.8340299576188,1.0
full,room_1_subnode_20,638.2602497884578,1.0
full,room_1_subnode_21,593.8340299576188,1.0
full,room_1_subnode_22,654.8398437145969,1.0
full,room_2_subnode_1,439.5340436179773,1.0
full,room_2_subnode_2,497.39946575652687,1.0
full,room_3_subnode_1,934.3483574664716,1.0
full,room_3_subnode_2,946.8953621003994,1.0
full,room_3_subnode_3,976.8763035455701,1.0
full,room_3_subnode_4,1015.242273563343,1.0
full,room_3_subnode_5,877.3824806532374,1.0
full,room_3_subnode_6,891.9732842505383,1.0
full,room_3_subnode_7,959.2886561791371,1.0
full,room_3_subnode_8,816.599998889334,1.0
full,room_3_subnode_9,834.2907116859466,1.0
full,room_3_subnode_10,863.0325759455635,1.0
full,room_3_subnode_11,904.8801985272027,1.0
full,room_3_subnode_12,950.461436809468,1.0
full,room_3_subnode_13,775.9432311845613,1.0
full,room_3_subnode_14,804.4943784562039,1.0
full,room_3_subnode_15,849.1565122200217,1.0
full,room_3_subnode_16,901.2392586492105,1.0
full,room_3_subnode_17,713.2092390715451,1.0
full,room_3_subnode_18,747.4642918282827,1.0
full,room_3_subnode_19,796.288906760651,1.0
full,room_3_subnode_20,859.6236441612106,1.0
full,room_4_subnode_1,395.9656916807965,1.0
full,room_4_subnode_2,512.8233687269617,1.0
full,room_5_subnode_1,1114.3473718804148,1.0
full,room_5_subnode_2,1080.7386504682036,1.0
full,room_5_subnode_3,1045.2547188416077,1.0
full,room_5_subnode_4,1023.2798477526577,1.0
full,room_5_subnode_5,1012.440490038333,1.0
full,room_5_subnode_6,1060.1896484636306,1.0
full,room_5_subnode_7,1024.3817597500752,1.0
full,room_5_subnode_8,991.1544132205853,1.0
full,room_5_subnode_9,969.2826505919737,1.0
full,room_5_subnode_10,1050.1395933072004,1.0
full,room_5_subnode_11,1001.4292075903778,1.0
full,room_5_subnode_12,931.3038335774153,1.0
full,room_5_subnode_13,916.0920044705184,1.0
full,room_5_subnode_14,991.0028115734011,1.0
full,room_5_subnode_15,943.770837086276,1.0
full,room_5_subnode_16,904.8648980495135,1.0
full,room_5_subnode_17,867.4070901744827,1.0
full,room_5_subnode_18,996.9291464669353,1.0
full,room_5_subnode_19,937.5888212858603,1.0
full,room_5_subnode_20,887.1387638468522,1.0
full,room_5_subnode_21,842.2681148478629,1.0
full,room_5_subnode_22,809.0900612359197,1.0
full,room_5_subnode_23,954.2155487563165,1.0
full,room_5_subnode_24,895.8062057014212,1.0
full,room_5_subnode_25,835.990396963013,1.0
full,room_5_subnode_26,778.9808661414951,1.0
full,room_5_subnode_27,981.8050629947282,1.0
full,room_5_subnode_28,920.7981658442037,1.0
full,room_5_subnode_29,865.28637772422,1.0
full,room_5_subnode_30,802.4010746124517,1.0
full,room_5_subnode_31,743.4342159167473,1.0
full,room_6_subnode_1,804.5932007772678,1.0
full,room_6_subnode_2,821.0582366575842,1.0
full,room_6_subnode_3,834.113288251469,1.0
full,room_6_subnode_4,862.4245523193475,1.0
full,room_6_subnode_5,898.0518915282115,1.0
full,room_6_subnode_6,763.1002646409926,1.0
full,room_6_subnode_7,779.3183170908271,1.0
full,room_6_subnode_8,805.5901534390803,1.0
full,room_6_subnode_9,841.2507449598885,1.0
full,room_6_subnode_10,707.803337865062,1.0
full,room_6_subnode_11,720.4646048264148,1.0
full,room_6_subnode_12,746.1987151570822,1.0
full,room_6_subnode_13,782.5496330974121,1.0
full,room_6_subnode_14,829.5498529683151,1.0
full,room_6_subnode_15,661.0747036355656,1.0
full,room_6_subnode_16,687.3809513659106,1.0
full,room_6_subnode_17,766.7586569942351,1.0
full,room_6_subnode_18,598.1800359094858,1.0
full,room_6_subnode_19,629.2421832512284,1.0
full,room_6_subnode_20,674.6808546124817,1.0
full,room_6_subnode_21,714.2277939428291,1.0
full,room_6_subnode_22,770.4699348010134,1.0
full,room_6_subnode_23,566.0091795054981,1.0
full,room_6_subnode_24,618.0766814906225,1.0
full,room_6_subnode_25,671.8315287934901,1.0
full,room_6_subnode_26,730.5520603236955,1.0
full,room_6_subnode_27,511.9097646529119,1.0
full,room_6_subnode_28,570.7603027421267,1.0
full,room_6_subnode_29,625.7426783610684,1.0
full,room_6_subnode_30,688.7718790077971,1.0
full,room_6_subnode_31,749.6829923503593,1.0
full,room_7_subnode_1,547.6204064657792,1.0
full,room_7_subnode_2,431.407572868307,1.0
full,room_8_subnode_1,448.5608161490092,1.0
full,room_8_subnode_2,565.8629972796022,1.0
full,room_9_subnode_1,658.2015408585902,1.0
full,room_9_subnode_2,540.8916407360224,1.0
full,room_10_subnode_1,560.3105620480735,1.0
full,room_10_subnode_2,677.1682390942386,1.0
full,room_11_subnode_1,758.568199682623,1.0
full,room_11_subnode_2,640.9259560803033,1.0
full,room_12_subnode_1,661.169374447075,1.0
full,room_12_subnode_2,778.4715555776679,1.0
full,room_13_subnode_1,538.228270931305,1.0
full,room_13_subnode_2,480.93721245645435,1.0
full,room_13_subnode_3,523.4312592052516,1.0
full,room_13_subnode_4,514.4353522222387,1.0
full,room_13_subnode_5,533.3951796329403,1.0
full,room_14_subnode_1,878.6843403553161,1.0
full,room_14_subnode_2,761.2773750415862,1.0
full,room_15_subnode_1,780.3544749565132,1.0
full,room_15_subnode_2,897.8983417897879,1.0
full,room_16_subnode_1,943.6925445374242,1.0
full,room_16_subnode_2,825.5261066725345,1.0
full,room_16_subnode_3,772.1327770607112,1.0
full,room_16_subnode_4,915.5370027015537,1.0
full,room_16_subnode_5,854.1311053016685,1.0
full,room_16_subnode_6,796.9720600610311,1.0
full,room_16_subnode_7,952.9110080509839,1.0
full,room_16_subnode_8,899.4455872996188,1.0
full,room_16_subnode_9,848.5024973133983,1.0
full,room_16_subnode_10,810.5541044741643,1.0
full,room_16_subnode_11,852.1781281288532,1.0
full,room_16_subnode_12,905.2732822584036,1.0
full,room_16_subnode_13,959.5014924652929,1.0
full,room_16_subnode_14,957.556471603545,1.0
full,room_16_subnode_15,909.9487104871874,1.0
full,room_16_subnode_16,874.9335642675593,1.0
full,room_16_subnode_17,856.0977877691538,1.0
full,room_16_subnode_18,875.7454694651054,1.0
full,room_16_subnode_19,914.1505762845715,1.0
full,room_16_subnode_20,957.7969042120925,1.0
full,room_17_subnode_1,967.7864529892914,1.0
full,room_17_subnode_2,850.2878616870936,1.0
full,room_18_subnode_1,879.9512634314108,1.0
full,room_18_subnode_2,997.0621604510458,1.0
full,room_19_subnode_1,672.5677093647431,1.0
full,room_19_subnode_2,787.3778684181477,1.0
full,room_20_subnode_1,967.9401249859678,1.0
full,room_20_subnode_2,1085.1493921219085,1.0
full,room_21_subnode_1,1067.016164709276,1.0
full,room_21_subnode_2,949.809222024236,1.0
full,room_22_subnode_1,776.6958691587132,1.0
full,room_22_subnode_2,890.6733575095319,1.0
full,room_23_subnode_1,1215.4592625353798,1.0
full,room_23_subnode_2,1103.0589079265656,1.0
full,room_23_subnode_3,1159.0589079265656,1.0
full,room_23_subnode_4,1333.2510616415339,1.0
full,room_23_subnode_5,1161.239660757721,1.0
full,room_23_subnode_6,1222.0271538922902,1.0
full,room_23_subnode_7,1273.242728886824,1.0
full,room_23_subnode_8,1220.7795633441378,1.0
full,room_23_subnode_9,1177.7507186548705,1.0
full,room_23_subnode_10,1282.9287138066306,1.0
full,room_23_subnode_11,1324.242728886824,1.0
full,room_23_subnode_12,1115.5815944853923,1.0
full,room_24_subnode_1,1094.7419757159525,1.0
full,room_24_subnode_2,1153.556648775654,1.0
full,room_26_subnode_1,885.2711180793966,1.0
full,room_26_subnode_2,999.8361124126264,1.0
full,room_27_subnode_1,986.2160094374575,1.0
full,room_27_subnode_2,1100.4406274508829,1.0
full,room_29_subnode_1,1546.4783988121355,1.0
full,room_29_subnode_2,1528.4894361690635,1.0
full,room_29_subnode_3,1522.4588624993419,1.0
full,room_29_subnode_4,1486.3611443453897,1.0
full,room_29_subnode_5,1467.9512774248517,1.0
full,room_29_subnode_6,1484.4092491279816,1.0
full,room_29_subnode_7,1432.1117035699515,1.0
full,room_29_subnode_8,1429.3985979642364,1.0
full,room_30_subnode_1,1711.5377964848544,1.0
full,room_30_subnode_2,1608.9741107905268,1.0
full,room_31_subnode_1,1812.718044961697,1.0
full,room_31_subnode_2,1711.3741776727366,1.0
full,room_32_subnode_1,1802.8814700000542,1.0
full,room_32_subnode_2,1702.0272886547768,1.0
full,room_33_subnode_1,1238.0874041912716,1.0
full,room_33_subnode_2,1267.057002173121,1.0
full,room_33_subnode_3,1321.341995287701,1.0
full,room_34_subnode_1,1267.273954619283,1.0
full,room_34_subnode_2,1377.2360242013553,1.0
funneling,room_1_subnode_1,986.2549876967348,1.0246492683403718
funneling,room_1_subnode_2,923.965341687145,1.0167478724600514
funneling,room_1_subnode_3,865.5444550112309,1.0126514566897662
funneling,room_1_subnode_4,806.5444550112309,1.000209393419272
funneling,room_1_subnode_5,779.0741927683757,1.0187545844884918
funneling,room_1_subnode_6,774.2085323780826,1.0498426936032852
funneling,room_1_subnode_7,830.2085323780826,1.1450535840100862
funneling,room_1_subnode_8,891.2413104567511,1.21804362821851
funneling,room_1_subnode_9,981.0537637074017,1.0667270385213024
funneling,room_1_subnode_10,917.9269072990551,1.069153811955949
funneling,room_1_subnode_11,860.3682415744224,1.063492395746902
funneling,room_1_subnode_12,713.8346969855882,1.0538833470899152
funneling,room_1_subnode_13,890.9539025720323,1.3164811700300352
funneling,room_1_subnode_14,953.9230462336104,1.3558738140342157
funneling,room_1_subnode_15,1031.0044416819815,1.101203937398804
funneling,room_1_subnode_16,972.9269072990551,1.1063656921888396
funneling,room_1_subnode_17,921.4255916643174,1.2118996350965718
funneling,room_1_subnode_18,771.6101242882055,1.1938881994624353
funneling,room_1_subnode_19,652.4343712535532,1.049209820983937
funneling,room_1_subnode_20,704.9034097429328,1.1044137716183373
funneling,room_1_subnode_21,593.8340299576188,1.0
funneling,room_1_subnode_22,761.3037643517472,1.1625800898632417
funneling,room_2_subnode_1,439.5340436179773,1.0
funneling,room_2_subnode_2,515.6743507908443,1.0367408618071634
funneling,room_3_subnode_1,983.5760819736469,1.0526866924030973
funneling,room_3_subnode_2,954.059775379409,1.0075662143524682
funneling,room_3_subnode_3,1013.059775379409,1.0370399729244235
funneling,room_3_subnode_4,1072.0682493471365,1.055972822707966
funneling,room_3_subnode_5,982.3047977205414,1.119585607623697
funneling,room_3_subnode_6,926.3047977205414,1.0384893965729582
funneling,room_3_subnode_7,1044.295266523821,1.0886142140815744
funneling,room_3_subnode_8,898.7840806456744,1.1006417852903745
funneling,room_3_subnode_9,841.2254149210418,1.0083120944989086
funneling,room_3_subnode_10,920.0919183862949,1.0661149347441672
funneling,room_3_subnode_11,984.286933769111,1.0877538655074472
funneling,room_3_subnode_12,1037.4376628327843,1.0915094738775308
funneling,room_3_subnode_13,781.6855123346251,1.0074003882233724
funneling,room_3_subnode_14,980.0335566688778,1.2181981414830112
funneling,room_3_subnode_15,980.9934783006355,1.1552563799292328
funneling,room_3_subnode_16,1035.2869337691109,1.1487370571504096
funneling,room_3_subnode_17,713.2092390715451,1.0
funneling,room_3_subnode_18,1038.5570562224757,1.389440362003362
funneling,room_3_subnode_19,1042.202680838356,1.3088248146995998
funneling,room_3_subnode_20,1043.9617242663599,1.2144404488606402
funneling,room_4_subnode_1,395.9656916807965,1.0
funneling,room_4_subnode_2,520.7838871516996,1.0155229244807995
funneling,room_5_subnode_1,1134.3834348239418,1.0179800872233555
funneling,room_5_subnode_2,1081.7179752012241,1.00090616240346
funneling,room_5_subnode_3,1067.8333810991523,1.0216011100935924
funneling,room_5_subnode_4,1070.4895360709997,1.0461356572417846
funneling,room_5_subnode_5,1119.6955795290057,1.1059371790697663
funneling,room_5_subnode_6,1079.4653139529578,1.0181813371949635
funneling,room_5_subnode_7,1024.4466909481187,1.0000633857421077
funneling,room_5_subnode_8,1013.6300601676818,1.0226762315208442
funneling,room_5_subnode_9,1062.241249840113,1.0959045322758705
