Node_ID	Position	Filled_Area
outside_main_1	(np.float64(271.5), np.float64(116.5))	438528
corridor_main_1	(np.float64(489.5), np.float64(342.5))	270394
corridor_main_2	(np.float64(656.5), np.float64(474.5))	13214
corridor_main_3	(np.float64(459.5), np.float64(560.5))	0
corridor_main_4	(np.float64(1472.0), np.float64(841.0))	203719
corridor_main_5	(np.float64(1067.0), np.float64(1021.5))	0
room_1	(np.float64(1462.0), np.float64(56.5))	5428
room_2	(np.float64(1531.0), np.float64(56.5))	5521
room_3	(np.float64(1398.5), np.float64(58.0))	5479
room_4	(np.float64(1583.0), np.float64(123.0))	2845
room_5	(np.float64(1330.0), np.float64(125.5))	4878
room_6	(np.float64(690.0), np.float64(141.5))	16822
room_7	(np.float64(1320.0), np.float64(216.5))	6283
room_8	(np.float64(1092.0), np.float64(218.5))	29322
room_9	(np.float64(1312.5), np.float64(305.0))	5710
room_10	(np.float64(292.5), np.float64(318.5))	36912
room_11	(np.float64(817.5), np.float64(376.5))	69984
room_12	(np.float64(1306.0), np.float64(385.0))	6373
room_13	(np.float64(608.0), np.float64(402.0))	3939
room_14	(np.float64(1297.5), np.float64(460.5))	8157
room_15	(np.float64(326.0), np.float64(466.0))	9984
room_16	(np.float64(1557.0), np.float64(475.5))	4609
room_17	(np.float64(231.0), np.float64(490.5))	6706
room_18	(np.float64(1265.0), np.float64(543.5))	5120
room_19	(np.float64(1553.0), np.float64(554.5))	3795
room_20	(np.float64(771.5), np.float64(589.0))	9444
room_21	(np.float64(582.0), np.float64(600.5))	8546
room_22	(np.float64(281.0), np.float64(607.0))	33256
room_23	(np.float64(1257.5), np.float64(622.5))	5983
room_24	(np.float64(1556.0), np.float64(636.5))	3919
room_25	(np.float64(1249.0), np.float64(714.0))	7009
room_26	(np.float64(1422.0), np.float64(716.5))	9135
room_27	(np.float64(1548.0), np.float64(717.5))	3628
room_28	(np.float64(921.0), np.float64(761.5))	44003
room_29	(np.float64(297.5), np.float64(775.0))	25669
room_30	(np.float64(1245.0), np.float64(785.5))	8010
room_31	(np.float64(704.0), np.float64(804.0))	74610
room_32	(np.float64(188.0), np.float64(893.5))	10752
room_33	(np.float64(1260.0), np.float64(893.5))	24460
room_34	(np.float64(351.0), np.float64(897.5))	6375
room_35	(np.float64(83.0), np.float64(913.5))	12692
