Node_ID	Position	Filled_Area
room_1	(np.float64(1179.5), np.float64(408.5))	34964
room_2	(np.float64(1061.5), np.float64(488.5))	38423
room_3	(np.float64(315.5), np.float64(501.0))	35518
room_4	(np.float64(586.5), np.float64(503.0))	13144
room_5	(np.float64(896.0), np.float64(513.5))	36884
room_6	(np.float64(747.5), np.float64(540.0))	36345
room_7	(np.float64(558.0), np.float64(617.0))	53399
room_8	(np.float64(640.5), np.float64(631.5))	4836
room_9	(np.float64(556.0), np.float64(692.0))	1625584
room_10	(np.float64(1786.5), np.float64(708.0))	66270
room_11	(np.float64(320.5), np.float64(888.5))	5680
room_12	(np.float64(2056.0), np.float64(910.0))	23830
room_13	(np.float64(906.5), np.float64(940.5))	155
room_14	(np.float64(1756.5), np.float64(967.0))	13681
room_15	(np.float64(663.5), np.float64(1076.0))	10708
room_16	(np.float64(794.0), np.float64(1090.0))	5311
