Node_ID	Position	Filled_Area
room_1	(378.0, 107.5)	14491
room_2	(530.0, 291.5)	11173
room_3	(238.0, 335.5)	6982
room_4	(1424.0, 387.0)	14737
room_5	(531.5, 404.0)	11087
room_6	(1106.5, 426.5)	14492
room_7	(1741.75, 429.25)	14677
room_8	(206.5, 505.5)	11683
room_9	(534.5, 507.5)	11104
room_10	(206.5, 610.5)	10966
room_11	(533.0, 612.0)	11149
room_12	(206.5, 712.5)	10807
room_13	(531.5, 712.5)	11110
room_14	(1613.0, 807.0)	10890
room_15	(1808.5, 807.0)	1772
room_16	(206.5, 813.0)	10842
room_17	(533.0, 813.0)	10744
room_18	(1173.5, 828.0)	13632
room_19	(206.5, 919.5)	10857
room_20	(531.5, 919.5)	11049
room_21	(1629.5, 949.5)	11521
room_22	(533.0, 1024.0)	10912
room_23	(206.5, 1024.0)	10979
room_24	(1631.0, 1050.0)	11158
room_25	(1269.0, 1077.5)	14483
room_26	(530.0, 1120.0)	10550
room_27	(206.5, 1132.0)	11851
room_28	(1632.5, 1150.5)	11053
room_29	(1634.0, 1252.0)	10751
room_30	(534.5, 1260.5)	9631
room_31	(222, 1299)	14614
room_32	(680.5, 1299.5)	12344
room_33	(793.5, 1299.5)	11486
room_34	(890.5, 1299.5)	11466
room_35	(1038.0, 1299.5)	12528
room_37	(543.5, 1361.5)	11897
