Node_ID	Position	Filled_Area
outside_main_1	(543.0, 36.5)	7024
outside_main_2	(392.0, 647.0)	14575
corridor_main_1	(119.5, 691.0)	13992
corridor_main_2	(620.5, 720.5)	7777
corridor_main_3	(859.5, 727.0)	2283
room_1	(106.0, 122.5)	5749
room_2	(243.5, 122.5)	5822
room_3	(385.5, 122.5)	5703
room_4	(456.5, 121.5)	5893
room_5	(44.5, 123.5)	5150
room_6	(178.5, 123.5)	5727
room_7	(320.5, 124.5)	5901
room_8	(833.5, 134.5)	12407
room_9	(420.0, 248.5)	2422
room_10	(807.5, 280.5)	8157
room_11	(699.5, 281.5)	5232
room_12	(541.5, 282.0)	5488
room_13	(976.0, 288.5)	11392
room_14	(361.0, 324.5)	3884
room_15	(806.5, 338.5)	6153
room_16	(1019.5, 485.0)	11827
room_17	(207.0, 494.0)	8030
room_18	(883.5, 528.5)	5834
room_19	(676.5, 539.5)	14900
room_20	(867, 668)	2292
room_22	(766.5, 869.5)	12514
room_23	(252.5, 893.5)	6722
room_24	(1072.0, 945.5)	1433
room_25	(967.0, 946.0)	1048
room_26	(142.5, 949.5)	949
room_27	(1020.0, 994.5)	8786
room_28	(1061.0, 1037.5)	1751
room_29	(965.5, 1049.0)	987
