Node_ID	Position	Filled_Area
outside_main_1	(np.float64(771.5), np.float64(542.0))	14195
corridor_main_1	(np.float64(469.0), np.float64(223.0))	3223
corridor_main_2	(np.float64(177.5), np.float64(405.5))	9446
corridor_main_3	(np.float64(1427.0), np.float64(680.5))	13403
corridor_main_4	(np.float64(1220.0), np.float64(735.0))	3989
corridor_main_5	(np.float64(1757.0), np.float64(737.0))	7500
room_1	(np.float64(379.5), np.float64(107.5))	14199
room_2	(np.float64(530.0), np.float64(291.5))	11025
room_3	(np.float64(1424.0), np.float64(387.0))	14588
room_4	(np.float64(531.5), np.float64(405.5))	11013
room_5	(np.float64(1106.5), np.float64(426.5))	14344
room_6	(np.float64(1741.75), np.float64(429.25))	14533
room_7	(np.float64(206.5), np.float64(505.5))	11396
room_8	(np.float64(534.5), np.float64(507.5))	10956
room_9	(np.float64(206.5), np.float64(610.5))	10670
room_10	(np.float64(533.0), np.float64(612.0))	11001
room_11	(np.float64(206.5), np.float64(712.5))	10513
room_12	(np.float64(531.5), np.float64(712.5))	10964
room_13	(np.float64(1616.0), np.float64(808.5))	10956
room_14	(np.float64(206.5), np.float64(813.0))	10547
room_15	(np.float64(533.0), np.float64(813.0))	10596
room_16	(np.float64(1173.5), np.float64(828.0))	13486
room_17	(np.float64(206.5), np.float64(919.5))	10563
room_18	(np.float64(531.5), np.float64(919.5))	10904
room_19	(np.float64(1629.5), np.float64(949.5))	11374
room_20	(np.float64(533.0), np.float64(1024.0))	10764
room_21	(np.float64(206.5), np.float64(1024.0))	10686
room_22	(np.float64(1631.0), np.float64(1050.0))	11013
room_23	(np.float64(1270.5), np.float64(1077.5))	14335
room_24	(np.float64(530.0), np.float64(1120.0))	10404
room_25	(np.float64(206.5), np.float64(1132.0))	11704
room_26	(np.float64(1632.5), np.float64(1150.5))	10907
room_27	(np.float64(1634.0), np.float64(1252.0))	10606
room_28	(np.float64(548.0), np.float64(1263.0))	10249
room_29	(np.float64(205.0), np.float64(1299.5))	14613
room_30	(np.float64(680.5), np.float64(1299.5))	12197
room_31	(np.float64(793.5), np.float64(1299.5))	11339
room_32	(np.float64(890.5), np.float64(1299.5))	11324
room_33	(np.float64(1038.0), np.float64(1299.5))	12380
room_34	(np.float64(543.5), np.float64(1361.5))	11750
